image,rule_group,whiteness,edge,color,horizontal,texture
0ba755deb8.jpg,0,0.850926638,0.097038791,0.004326438,0.529431701,0.002494016
0ceb500d5a.jpg,0,0.621189773,0.10127262,0.018376855,0.493763655,0.002308482
0e004a880f.jpg,0,0.888046205,0.090054728,0.002576543,0.456030875,0.00130859
1683034eb6.jpg,0,0.802779913,0.111683413,0.004396658,0.518822789,0.002627803
1a7a48d8f1.jpg,0,0.889813721,0.088712737,0.002932576,0.495264709,0.002561001
20f8cfe023.jpg,0,0.860470414,0.069333546,0.001966622,0.513245165,0.001906378
25cec5483a.jpg,0,0.920500219,0.046482336,0.003081754,0.490186453,0.000578162
26abead3c5.jpg,0,0.820458055,0.092295073,0.006595239,0.497772604,0.003177177
2dfaca6ce7.jpg,0,0.861681581,0.083153777,0.00279571,0.518662393,0.002790684
3020fa8157.jpg,0,0.884458125,0.088361189,0.002588985,0.510680556,0.003138518
31d6ad5cab.jpg,0,0.82022053,0.081679843,0.00151545,0.490756392,0.001904068
32ae76fc83.jpg,0,0.846912146,0.085635245,0.013077311,0.424889714,0.000499265
3d2cb4ff48.jpg,0,0.807257235,0.090045162,0.005728344,0.477137506,0.002715923
43d6315d86.jpg,0,0.665463328,0.062154431,1.22E-05,0.512337446,0.000282374
4827410aeb.jpg,0,0.872133017,0.087349892,0.002076208,0.503741562,0.003376808
567eef5e23.jpg,0,0.842517197,0.068434775,0.005428658,0.536347032,0.00157764
5e17465b26.jpg,0,0.806754827,0.138390392,0.00696604,0.50303942,0.003573835
5eb44c4311.jpg,0,0.782076001,0.117292181,0.004018873,0.523958564,0.003515838
6783cce310.jpg,0,0.652783036,0.07387051,0.000367603,0.481530339,0.000397162
7074ba1a2b.jpg,0,0.864697695,0.098080389,0.00248453,0.501078129,0.002743052
74ed0f27d2.jpg,0,0.649306536,0.139821872,0.01106027,0.468587488,0.004025694
7ad1712393.jpg,0,0.782396793,0.089588143,0.007144945,0.49397397,0.002172228
7c93f93cd6.jpg,0,0.898373008,0.110401481,0.001873613,0.547475338,0.003646745
82289216d0.jpg,0,0.862384617,0.112096086,0.002785521,0.525154591,0.003508397
85b44ab295.jpg,0,0.622248769,0.093762703,0.018164184,0.498882115,0.001564402
870b05c619.jpg,0,0.819137752,0.110773668,0.003566289,0.518488526,0.003050701
9140c9d89c.jpg,0,0.870678604,0.071445018,0.001229534,0.53265214,0.000634459
9e8c1ebbab.jpg,0,0.84128511,0.146587595,0.009298343,0.49356702,0.001999885
9fd5811252.jpg,0,0.910256565,0.061239343,0.002762944,0.501568556,0.000663026
a33bb9ad19.jpg,0,0.836014509,0.093166992,0.004555259,0.511727631,0.002894884
a501b0d01a.jpg,0,0.754448533,0.089955904,0.011994856,0.499970764,0.002412543
b5876fe70d.jpg,0,0.865893722,0.073758848,0.00146313,0.508471489,0.000778979
ba8ac41746.jpg,0,0.855550408,0.110085361,0.003448702,0.525776267,0.00333986
bf98b8af08.jpg,0,0.518331409,0.073134869,0.000667627,0.511327088,0.000255135
